bus_id,trip_id,vehicle_id,event_type,minute_of_day,approx_time_hhmm,stop_index,method,route_id,service_date,direction_id
0,11068020,8911,bunch,943.62,15:43,5.0,time,36,2026-06-18,0
0,11068020,8911,bunch,947.95,15:47,8.0,time,36,2026-06-18,0
0,11068020,8911,bunch,948.58,15:48,9.0,time,36,2026-06-18,0
0,11068020,8911,bunch,949.3,15:49,10.0,time,36,2026-06-18,0
0,11068020,8911,bunch,953.6,15:53,13.0,time,36,2026-06-18,0
0,11068020,8911,bunch,954.73,15:54,14.0,time,36,2026-06-18,0
0,11068020,8911,bunch,955.23,15:55,15.0,time,36,2026-06-18,0
1,13462020,8911,bunch,1008.72,16:48,4.0,time,36,2026-06-18,0
1,13462020,8911,bunch,1011.97,16:51,6.0,time,36,2026-06-18,0
4,17350020,1305,bunch,1212.67,20:12,1.0,time,36,2026-06-18,0
0,11068020,8911,idle,965.25,16:05,20.841,,36,2026-06-18,0
1,13462020,8911,idle,1034.08,17:14,20.707,,36,2026-06-18,0
2,1389020,9122,idle,989.42,16:29,20.577,,36,2026-06-18,0
3,14100020,9113,idle,993.17,16:33,0.0,,36,2026-06-18,0
3,14100020,9113,idle,1026.33,17:06,20.539,,36,2026-06-18,0
14,28263020,8924,idle,995.92,16:35,20.508,,36,2026-06-18,0
16,31527020,9111,idle,1139.25,18:59,20.586,,36,2026-06-18,0
19,33993020,8848,idle,1050.08,17:30,20.852,,36,2026-06-18,0
20,35595020,8882,idle,1391.33,23:11,0.112,,36,2026-06-18,0
23,38438020,9113,idle,960.75,16:00,20.79,,36,2026-06-18,0
2,1406020,9429,bunch,878.05,14:38,26.0,time,29,2026-06-18,0
2,1406020,9429,bunch,879.2,14:39,27.0,time,29,2026-06-18,0
2,1406020,9429,bunch,880.28,14:40,28.0,time,29,2026-06-18,0
2,1406020,9429,bunch,881.35,14:41,29.0,time,29,2026-06-18,0
2,1406020,9429,bunch,882.38,14:42,30.0,time,29,2026-06-18,0
2,1406020,9429,bunch,883.2,14:43,31.0,time,29,2026-06-18,0
2,1406020,9429,bunch,887.38,14:47,34.0,time,29,2026-06-18,0
2,1406020,9429,bunch,888.82,14:48,35.0,time,29,2026-06-18,0
4,15542020,9405,bunch,1045.3,17:25,1.0,time,29,2026-06-18,0
4,15542020,9405,bunch,1049.37,17:29,2.0,time,29,2026-06-18,0
3,14119020,9409,idle,1098.17,18:18,0.159,,29,2026-06-18,0
5,1612020,9409,idle,971.75,16:11,0.446,,29,2026-06-18,0
8,20945020,7204,idle,1073.67,17:53,0.207,,29,2026-06-18,0
19,31236020,9443,idle,1361.25,22:41,0.272,,29,2026-06-18,0
21,33971020,9409,idle,1420.25,23:40,0.132,,29,2026-06-18,0
23,37440020,7314,idle,946.83,15:46,44.813,,29,2026-06-18,0
24,37491020,9449,idle,1375.08,22:55,18.911,,29,2026-06-18,0
25,37673020,9410,idle,1106.25,18:26,0.087,,29,2026-06-18,0
33,43845020,9404,idle,992.33,16:32,44.847,,29,2026-06-18,0
43,54423020,9408,idle,1085.83,18:05,0.184,,29,2026-06-18,0
